ID	NAME	PID	TREELEVEL	LEAF
0	河北省	null	0	0
10	石家庄	0	1	0
20	保定	0	1	0
30	廊坊	0	1	0
40	承德	0	1	0
1010	城东区	10	2	0
1020	城西区	10	2	0
1030	城北区	10	2	0
1040	中心区	10	2	0
1050	城南区	10	2	0
104010	百货商场营业部	1040	3	0
104020	华侨村营业部	1040	3	0
104030	mall营业部	1040	3	0
10402010	朝阳街道	104020	4	0
10402020	繁荣小区	104020	4	0
10402030	凉快小街	104020	4	0
1040201010	朝阳街道基站1	10402010	5	1
1040201020	朝阳街道基站2	10402010	5	1
1040202030	繁荣小区东院	10402020	5	0
1040202040	繁荣小区西院	10402020	5	0
104020204010	繁荣小区东院假树	1040202040	6	1
104020204020	繁荣小区东院基站1	1040202040	6	1
